State,Date,Exem_total,Rebate_total,Tax_total,GNT_total,Other_Total,Loans_Total
CO,2018-03-01T08:00:00Z,4,0,1,1,0,0
CO,2018-04-01T07:00:00Z,4,0,1,1,0,0
CO,2018-05-01T07:00:00Z,4,0,1,1,0,0
CO,2018-06-01T07:00:00Z,4,0,1,1,0,0
CO,2018-07-01T07:00:00Z,4,0,1,1,0,0
CO,2018-08-01T07:00:00Z,4,0,1,1,0,0
CO,2018-09-01T07:00:00Z,4,0,1,1,0,0
CO,2018-10-01T07:00:00Z,4,0,1,1,0,0
CO,2018-11-01T07:00:00Z,4,0,1,1,0,0
CO,2018-12-01T08:00:00Z,4,0,1,1,0,0
CO,2019-01-01T08:00:00Z,4,0,1,1,0,0
CO,2019-02-01T08:00:00Z,4,0,1,1,0,0
CO,2019-03-01T08:00:00Z,4,0,1,1,0,0
CO,2019-04-01T07:00:00Z,4,0,1,1,0,0
CO,2019-05-01T07:00:00Z,4,0,1,1,0,0
CO,2019-06-01T07:00:00Z,4,0,1,1,0,0
CO,2019-07-01T07:00:00Z,4,0,1,1,0,0
CO,2019-08-01T07:00:00Z,4,0,1,1,0,0
CO,2019-09-01T07:00:00Z,4,0,1,1,0,0
CO,2019-10-01T07:00:00Z,4,0,1,1,0,0
CO,2019-11-01T07:00:00Z,3,0,1,1,0,0
CO,2019-12-01T08:00:00Z,3,0,1,1,0,0
CO,2020-01-01T08:00:00Z,3,0,1,1,0,0
CT,2018-01-01T08:00:00Z,1,0,0,0,1,0
CT,2018-02-01T08:00:00Z,1,0,0,0,1,0
CT,2018-03-01T08:00:00Z,1,0,0,0,1,0
CT,2018-04-01T07:00:00Z,1,0,0,0,1,0
CT,2018-05-01T07:00:00Z,1,0,0,0,1,0
CT,2018-06-01T07:00:00Z,1,0,0,0,1,0
CT,2018-07-01T07:00:00Z,1,0,0,0,1,0
CT,2018-08-01T07:00:00Z,1,0,0,0,1,0
CT,2018-09-01T07:00:00Z,1,0,0,0,1,0
CT,2018-10-01T07:00:00Z,1,0,0,0,1,0
CT,2018-11-01T07:00:00Z,1,0,0,0,1,0
CT,2018-12-01T08:00:00Z,1,0,0,0,1,0
CT,2019-01-01T08:00:00Z,1,0,0,0,1,0
CT,2019-02-01T08:00:00Z,1,0,0,0,1,0
CT,2019-03-01T08:00:00Z,1,0,0,0,1,0
CT,2019-04-01T07:00:00Z,1,0,0,0,1,0
CT,2019-05-01T07:00:00Z,1,0,0,0,1,0
CT,2019-06-01T07:00:00Z,1,0,0,0,1,0
CT,2019-07-01T07:00:00Z,1,0,0,0,1,0
CT,2019-08-01T07:00:00Z,1,0,0,0,1,0
CT,2019-09-01T07:00:00Z,1,0,0,0,1,0
CT,2019-10-01T07:00:00Z,1,0,0,0,1,0
CT,2019-11-01T07:00:00Z,1,0,0,0,1,0
CT,2019-12-01T08:00:00Z,1,0,0,0,1,0
CT,2020-01-01T08:00:00Z,1,0,0,0,1,0
DC,2018-01-01T08:00:00Z,1,0,2,0,0,0
DC,2018-02-01T08:00:00Z,1,0,2,0,0,0
DC,2018-03-01T08:00:00Z,1,0,2,0,0,0
DC,2018-04-01T07:00:00Z,1,0,2,0,0,0
DC,2018-05-01T07:00:00Z,1,0,2,0,0,0
DC,2018-06-01T07:00:00Z,1,0,2,0,0,0
DC,2018-07-01T07:00:00Z,1,0,2,0,0,0
DC,2018-08-01T07:00:00Z,1,0,2,0,0,0
DC,2018-09-01T07:00:00Z,1,0,2,0,0,0
DC,2018-10-01T07:00:00Z,1,0,2,0,0,0
DC,2018-11-01T07:00:00Z,1,0,2,0,0,0
DC,2018-12-01T08:00:00Z,1,0,2,0,0,0
DC,2019-01-01T08:00:00Z,1,0,2,0,0,0
DC,2019-02-01T08:00:00Z,1,0,2,0,0,0
DC,2019-03-01T08:00:00Z,1,0,2,0,0,0
DC,2019-04-01T07:00:00Z,1,0,2,0,0,0
DC,2019-05-01T07:00:00Z,1,0,2,0,0,0
DC,2019-06-01T07:00:00Z,1,0,2,0,0,0
DC,2019-07-01T07:00:00Z,1,0,2,0,0,0
DC,2019-08-01T07:00:00Z,1,0,2,0,0,0
DC,2019-09-01T07:00:00Z,1,0,2,0,0,0
DC,2019-10-01T07:00:00Z,1,0,2,0,0,0
DC,2019-11-01T07:00:00Z,1,0,2,0,0,0
DC,2019-12-01T08:00:00Z,1,0,2,0,0,0
DC,2020-01-01T08:00:00Z,1,0,2,0,0,0
DE,2018-01-01T08:00:00Z,1,2,0,0,0,0
DE,2018-02-01T08:00:00Z,1,2,0,0,0,0
DE,2018-03-01T08:00:00Z,1,2,0,0,0,0
DE,2018-04-01T07:00:00Z,1,2,0,0,0,0
DE,2018-05-01T07:00:00Z,1,2,0,0,0,0
DE,2018-06-01T07:00:00Z,1,2,0,0,0,0
DE,2018-07-01T07:00:00Z,1,2,0,0,0,0
DE,2018-08-01T07:00:00Z,1,2,0,0,0,0
DE,2018-09-01T07:00:00Z,1,2,0,0,0,0
DE,2018-10-01T07:00:00Z,1,2,0,0,0,0
DE,2018-11-01T07:00:00Z,1,2,0,0,0,0
DE,2018-12-01T08:00:00Z,1,2,0,0,0,0
DE,2019-01-01T08:00:00Z,1,2,0,0,0,0
DE,2019-02-01T08:00:00Z,1,2,0,0,0,0
DE,2019-03-01T08:00:00Z,1,2,0,0,0,0
DE,2019-04-01T07:00:00Z,1,2,0,0,0,0
DE,2019-05-01T07:00:00Z,1,2,0,0,0,0
DE,2019-06-01T07:00:00Z,1,2,0,0,0,0
DE,2019-07-01T07:00:00Z,1,2,0,0,0,0
DE,2019-08-01T07:00:00Z,1,2,0,0,0,0
DE,2019-09-01T07:00:00Z,1,2,0,0,0,0
DE,2019-10-01T07:00:00Z,1,2,0,0,0,0
DE,2019-11-01T07:00:00Z,1,2,0,0,0,0
DE,2019-12-01T08:00:00Z,1,2,0,0,0,0
DE,2020-01-01T08:00:00Z,1,2,0,0,0,0
FL,2018-01-01T08:00:00Z,2,0,0,0,0,0
FL,2018-02-01T08:00:00Z,2,0,0,0,0,0
FL,2018-03-01T08:00:00Z,2,0,0,0,0,0
FL,2018-04-01T07:00:00Z,2,0,0,0,0,0
FL,2018-05-01T07:00:00Z,2,0,0,0,0,0
FL,2018-06-01T07:00:00Z,2,0,0,0,0,0
FL,2018-07-01T07:00:00Z,2,0,0,0,0,0
FL,2018-08-01T07:00:00Z,2,0,0,0,0,0
FL,2018-09-01T07:00:00Z,2,0,0,0,0,0
FL,2018-10-01T07:00:00Z,2,0,0,0,0,0
FL,2018-11-01T07:00:00Z,2,0,0,0,0,0
FL,2018-12-01T08:00:00Z,2,0,0,0,0,0
FL,2019-01-01T08:00:00Z,2,0,0,0,0,0
FL,2019-02-01T08:00:00Z,2,0,0,0,0,0
FL,2019-03-01T08:00:00Z,2,0,0,0,0,0
FL,2019-04-01T07:00:00Z,2,0,0,0,0,0
FL,2019-05-01T07:00:00Z,2,0,0,0,0,0
FL,2019-06-01T07:00:00Z,2,0,0,0,0,0
FL,2019-07-01T07:00:00Z,2,0,0,0,0,0
FL,2019-08-01T07:00:00Z,2,0,0,0,0,0
FL,2019-09-01T07:00:00Z,2,0,0,0,0,0
FL,2019-10-01T07:00:00Z,2,0,0,0,0,0
FL,2019-11-01T07:00:00Z,1,0,0,0,0,0
FL,2019-12-01T08:00:00Z,1,0,0,0,0,0
FL,2020-01-01T08:00:00Z,1,0,0,0,0,0
GA,2018-01-01T08:00:00Z,2,0,0,0,0,0
GA,2018-02-01T08:00:00Z,2,0,0,0,0,0
GA,2018-03-01T08:00:00Z,2,0,0,0,0,0
GA,2018-04-01T07:00:00Z,2,0,0,0,0,0
GA,2018-05-01T07:00:00Z,2,0,0,0,0,0
GA,2018-06-01T07:00:00Z,2,0,0,0,0,0
GA,2018-07-01T07:00:00Z,2,0,0,0,0,0
GA,2018-08-01T07:00:00Z,2,0,0,0,0,0
GA,2018-09-01T07:00:00Z,2,0,0,0,0,0
GA,2018-10-01T07:00:00Z,2,0,0,0,0,0
GA,2018-11-01T07:00:00Z,2,0,0,0,0,0
GA,2018-12-01T08:00:00Z,2,0,0,0,0,0
GA,2019-01-01T08:00:00Z,2,0,0,0,0,0
GA,2019-02-01T08:00:00Z,2,0,0,0,0,0
GA,2019-03-01T08:00:00Z,2,0,0,0,0,0
GA,2019-04-01T07:00:00Z,2,0,0,0,0,0
GA,2019-05-01T07:00:00Z,2,0,0,0,0,0
GA,2019-06-01T07:00:00Z,2,0,0,0,0,0
GA,2019-07-01T07:00:00Z,2,0,0,0,0,0
GA,2019-08-01T07:00:00Z,2,0,0,0,0,0
GA,2019-09-01T07:00:00Z,2,0,0,0,0,0
GA,2019-10-01T07:00:00Z,2,0,0,0,0,0
GA,2019-11-01T07:00:00Z,2,0,0,0,0,0
GA,2019-12-01T08:00:00Z,2,0,0,0,0,0
GA,2020-01-01T08:00:00Z,2,0,0,0,0,0
HI,2018-01-01T08:00:00Z,1,0,0,0,0,0
HI,2018-02-01T08:00:00Z,1,0,0,0,0,0
HI,2018-03-01T08:00:00Z,1,0,0,0,0,0
HI,2018-04-01T07:00:00Z,1,0,0,0,0,0
